DARC,DDPG,TD3,DARC_SE,DDPG_SE,TD3_SE
656.3412126,633.2203422,426.3135411,6.60E+02,6.69E+02,6.47E+02
659.8580715,572.2997876,431.3139659,6.62E+02,6.76E+02,6.52E+02
658.9499158,578.4231237,432.3087188,6.60E+02,6.67E+02,6.51E+02
651.9669862,579.6772395,441.5765419,6.54E+02,6.70E+02,6.59E+02
652.1112899,580.1883293,426.5331569,6.53E+02,6.66E+02,6.51E+02
658.4725873,591.9246843,434.2865111,6.60E+02,6.71E+02,6.51E+02
657.9783709,586.3750863,429.2334939,6.60E+02,6.67E+02,6.50E+02
658.8879341,611.4169397,429.7783897,6.66E+02,6.88E+02,6.49E+02
654.6084882,645.3600648,430.5158256,6.56E+02,6.87E+02,6.49E+02
658.7504419,624.1463337,431.3022781,6.61E+02,6.86E+02,6.49E+02
657.0785119,630.801092,429.1098897,6.59E+02,7.03E+02,6.50E+02
656.1747197,632.5578506,435.0933219,6.59E+02,7.02E+02,6.52E+02
658.7925189,643.9287731,426.9891218,6.61E+02,6.87E+02,6.48E+02
656.0492867,648.5934215,433.213471,6.58E+02,6.87E+02,6.54E+02
657.6180853,650.848751,435.5891737,6.59E+02,6.76E+02,6.50E+02
657.6315176,635.8128622,426.0928821,6.59E+02,6.68E+02,6.46E+02
658.1340075,647.5437756,435.4708116,6.63E+02,6.71E+02,6.54E+02
664.1280893,622.8108506,430.5708094,6.66E+02,6.69E+02,6.48E+02
655.9994931,622.5395463,431.4379106,6.57E+02,6.80E+02,6.49E+02
657.3777725,619.5528572,435.5158948,6.62E+02,6.66E+02,6.51E+02
659.6632867,625.3425308,433.7217106,6.62E+02,6.73E+02,6.52E+02
661.7877709,649.5543661,433.7072352,6.63E+02,6.71E+02,6.47E+02
664.5887688,648.3615559,430.1807794,6.66E+02,6.72E+02,6.49E+02
653.8084656,647.8143817,435.8711252,6.56E+02,6.70E+02,6.50E+02
662.2394832,653.2858219,431.5172599,6.64E+02,6.77E+02,6.50E+02
658.0148677,647.3752279,428.9903657,6.59E+02,6.68E+02,6.47E+02
661.3105768,647.12771,426.7641676,6.62E+02,6.72E+02,6.45E+02
664.0047794,643.1547049,434.5297454,6.65E+02,6.74E+02,6.54E+02
654.8438011,644.8284212,430.351791,6.58E+02,6.69E+02,6.50E+02
658.1807433,647.8724357,430.3166416,6.61E+02,6.69E+02,6.47E+02
660.4605348,649.8841393,429.2176061,6.62E+02,6.72E+02,6.48E+02
657.644925,648.1246204,425.4915722,6.60E+02,6.70E+02,6.46E+02
660.862236,644.7566041,433.2998257,6.62E+02,6.71E+02,6.51E+02
665.6864274,645.2826435,425.1624555,6.66E+02,6.78E+02,6.43E+02
663.592756,645.4872406,427.0443004,6.65E+02,6.68E+02,6.45E+02
663.7404641,647.376416,434.9965653,6.65E+02,6.72E+02,6.49E+02
660.1381717,649.0414847,428.0673476,6.62E+02,6.68E+02,6.48E+02
660.8711657,646.8574782,434.019276,6.63E+02,6.71E+02,6.53E+02
661.0754126,646.7301627,434.5709636,6.62E+02,6.78E+02,6.52E+02
663.4897911,646.7325457,431.1280344,6.65E+02,6.71E+02,6.48E+02
656.9856467,625.2428448,434.6873074,6.59E+02,6.73E+02,6.50E+02
661.1693604,647.0926585,429.8430792,6.64E+02,6.69E+02,6.47E+02
656.30575,649.0151133,428.9332895,6.57E+02,6.74E+02,6.50E+02
663.3372182,646.7637126,434.1339121,6.66E+02,6.75E+02,6.54E+02
662.6835882,626.728753,430.9409841,6.64E+02,6.72E+02,6.46E+02
657.5387124,625.9718853,433.9691982,6.59E+02,6.75E+02,6.52E+02
661.0625654,644.8345196,434.137462,6.63E+02,6.72E+02,6.52E+02
656.8807719,646.957572,431.6432635,6.58E+02,6.75E+02,6.52E+02
659.4363587,649.972768,431.2944685,6.63E+02,6.71E+02,6.53E+02
662.2560379,643.3594353,429.9740282,6.64E+02,6.71E+02,6.52E+02
664.0234991,647.8985564,433.7610455,6.65E+02,6.74E+02,6.54E+02
655.7037162,635.218679,432.5368882,6.56E+02,6.71E+02,6.52E+02
662.3615593,647.0920397,436.0428233,6.65E+02,6.76E+02,6.55E+02
661.6264567,650.2830929,434.4423642,6.65E+02,6.68E+02,6.50E+02
665.8831629,649.7748645,433.9948506,6.68E+02,6.76E+02,6.50E+02
664.2407468,646.1780128,428.9917281,6.65E+02,6.78E+02,6.53E+02
662.0969006,643.2088368,427.7172332,6.64E+02,6.68E+02,6.48E+02
658.462579,638.2346042,433.5623749,6.60E+02,6.70E+02,6.54E+02
663.1612127,646.2416368,431.0780876,6.65E+02,6.69E+02,6.49E+02
660.7636954,645.7817448,434.7174893,6.62E+02,6.69E+02,6.52E+02
663.2091632,641.0969902,439.3389046,6.65E+02,6.72E+02,6.55E+02
664.1989161,646.8325546,432.97951,6.65E+02,6.73E+02,6.53E+02
663.348974,642.4631375,428.3670007,6.66E+02,6.71E+02,6.48E+02
661.4560899,640.0759283,437.1642316,6.63E+02,6.75E+02,6.54E+02
660.3564192,647.8493674,431.6628927,6.62E+02,6.79E+02,6.51E+02
666.4107292,629.0275798,434.8499826,6.67E+02,6.75E+02,6.51E+02
665.3437835,642.5413662,428.1052278,6.66E+02,6.72E+02,6.50E+02
664.0403181,642.8719411,432.3232795,6.65E+02,6.70E+02,6.53E+02
667.133232,638.279399,425.1263842,6.68E+02,6.74E+02,6.46E+02
660.10144,645.1047499,424.8085796,6.61E+02,6.77E+02,6.46E+02
662.7052567,643.1653049,427.4666854,6.64E+02,6.70E+02,6.51E+02
662.4492979,645.9214147,431.5881114,6.64E+02,6.68E+02,6.49E+02
665.4065365,643.2377028,435.1568456,6.66E+02,6.75E+02,6.57E+02
665.4753613,653.171932,430.265363,6.67E+02,6.74E+02,6.49E+02
665.3418686,647.7929794,434.6131763,6.67E+02,6.71E+02,6.53E+02
664.8932474,647.7814946,439.4874437,6.66E+02,6.75E+02,6.53E+02
665.3146113,646.0975673,428.3575158,6.66E+02,6.72E+02,6.50E+02
666.963714,648.3626348,430.2795599,6.68E+02,6.74E+02,6.51E+02
663.8046439,621.5931947,436.9507866,6.66E+02,6.72E+02,6.52E+02
668.6897344,624.1014565,429.8743684,6.70E+02,6.78E+02,6.49E+02
663.9691861,633.4109685,428.8151714,6.65E+02,6.73E+02,6.47E+02
661.1272375,639.9560694,432.5771342,6.63E+02,6.70E+02,6.54E+02
663.3412462,641.4197566,433.9138029,6.64E+02,6.60E+02,6.54E+02
663.0499127,645.0493442,434.7034748,6.65E+02,6.75E+02,6.51E+02
658.2454566,645.2011557,432.9214394,6.60E+02,6.76E+02,6.53E+02
666.4462077,646.9204069,427.1107311,6.69E+02,6.70E+02,6.49E+02
662.8422646,647.7950176,434.2020738,6.64E+02,6.77E+02,6.56E+02
665.601992,646.1006789,427.8753477,6.67E+02,6.72E+02,6.47E+02
673.6305095,643.5728266,428.4942683,6.75E+02,6.75E+02,6.51E+02
667.5623912,643.8670085,431.9239042,6.69E+02,6.71E+02,6.51E+02
658.5281661,649.1907741,425.232602,6.59E+02,6.71E+02,6.46E+02
667.8967522,646.9030599,431.067807,6.69E+02,6.71E+02,6.52E+02
665.4539745,644.7596981,430.9420858,6.67E+02,6.67E+02,6.47E+02
662.6025481,651.1184744,432.9224985,6.65E+02,6.71E+02,6.53E+02
661.6917012,647.2322665,426.7270069,6.64E+02,6.53E+02,6.47E+02
667.1941485,648.2773707,434.6845085,6.68E+02,6.71E+02,6.53E+02
663.9896315,648.9221771,431.2811312,6.66E+02,6.71E+02,6.52E+02
665.2602823,643.5667371,427.693685,6.67E+02,6.76E+02,6.45E+02
668.0386085,646.3502158,434.8671059,6.69E+02,6.73E+02,6.50E+02
661.7536207,645.5709095,427.8721718,6.63E+02,6.70E+02,6.48E+02
667.8351517,644.7431779,428.2774099,6.70E+02,6.75E+02,6.48E+02
668.2392617,648.8789519,433.2341492,6.70E+02,6.74E+02,6.50E+02
664.4012513,643.1550375,430.4342005,6.65E+02,6.73E+02,6.50E+02
666.8482032,648.8222801,427.9444893,6.69E+02,6.71E+02,6.49E+02
667.3682116,647.7417979,429.1911704,6.68E+02,6.71E+02,6.46E+02
665.7708578,644.6478638,423.3447715,6.67E+02,6.68E+02,6.47E+02
665.7124857,649.4156397,425.3498416,6.67E+02,6.72E+02,6.47E+02
665.3906567,645.7639782,432.2713245,6.66E+02,7.06E+02,6.50E+02
672.2784214,646.8694874,422.5560281,6.73E+02,7.03E+02,6.46E+02
662.785542,642.0951431,436.5038097,6.65E+02,6.97E+02,6.56E+02
668.4369837,642.2026817,429.2132282,6.70E+02,6.97E+02,6.49E+02
664.3100429,650.8961141,428.8352141,6.66E+02,7.04E+02,6.52E+02
663.6522081,645.2282903,428.7455122,6.65E+02,7.02E+02,6.46E+02
665.475907,644.3977057,429.1788279,6.68E+02,6.97E+02,6.46E+02
667.3004883,643.8087369,441.8114247,6.69E+02,6.98E+02,6.56E+02
665.2860947,644.4511806,429.1375443,6.67E+02,6.96E+02,6.50E+02
671.6109176,646.294871,431.1416284,6.72E+02,7.00E+02,6.46E+02
668.1618333,653.3816463,432.0114019,6.69E+02,6.99E+02,6.55E+02
668.5955028,649.316658,433.6507958,6.69E+02,7.01E+02,6.54E+02
667.7120006,649.1381248,436.407648,6.69E+02,7.05E+02,6.53E+02
662.6113594,642.8703964,428.407242,6.64E+02,7.03E+02,6.50E+02
670.9760427,644.1691171,436.6652731,6.71E+02,7.03E+02,6.51E+02
666.2001761,649.7600409,433.7845231,6.67E+02,6.99E+02,6.52E+02
665.5865681,649.382849,438.9756594,6.67E+02,7.03E+02,6.55E+02
664.3139843,647.1589782,424.6147859,6.66E+02,7.00E+02,6.45E+02
667.6803344,646.104758,434.8863331,6.69E+02,6.97E+02,6.54E+02
664.4790519,646.1081824,427.9229916,6.66E+02,7.03E+02,6.49E+02
667.62284,650.0051583,432.9956509,6.68E+02,6.99E+02,6.54E+02
662.4796075,650.0723203,431.6079972,6.65E+02,6.88E+02,6.48E+02
662.7240005,646.1413799,427.5619959,6.64E+02,6.77E+02,6.51E+02
662.6217164,644.8167831,431.3071271,6.63E+02,6.74E+02,6.54E+02
666.1107517,648.4135174,427.9929185,6.68E+02,6.79E+02,6.49E+02
667.7715423,645.3301402,431.1680967,6.69E+02,6.74E+02,6.51E+02
663.9886684,647.9863595,436.9931907,6.64E+02,6.81E+02,6.55E+02
664.0227978,647.5592986,426.5710831,6.66E+02,6.78E+02,6.46E+02
668.6130955,648.4057529,437.6940125,6.70E+02,6.75E+02,6.55E+02
666.7574558,649.6376156,439.6157226,6.68E+02,6.77E+02,6.56E+02
663.1820192,644.781909,429.2840606,6.63E+02,6.76E+02,6.46E+02
668.8217726,647.9630184,435.5589619,6.69E+02,6.73E+02,6.49E+02
671.472028,646.8018259,435.2944323,6.72E+02,6.76E+02,6.55E+02
664.9003852,645.1822437,428.3329484,6.67E+02,6.73E+02,6.49E+02
662.9768009,641.7806911,436.2686024,6.64E+02,6.77E+02,6.54E+02
664.1724609,649.4501865,431.1747888,6.65E+02,6.74E+02,6.53E+02
668.4221505,643.9731521,436.2991791,6.69E+02,6.77E+02,6.51E+02
666.7294432,641.661008,433.4241108,6.69E+02,6.76E+02,6.52E+02
664.4241755,643.5325956,432.7354591,6.66E+02,6.76E+02,6.51E+02
671.8067738,646.4482186,432.4309858,6.73E+02,6.76E+02,6.50E+02
665.204506,650.968627,431.0454773,6.67E+02,6.76E+02,6.53E+02
667.5021047,643.8490329,429.6048115,6.69E+02,6.75E+02,6.49E+02
664.6978807,649.3114119,427.0570304,6.67E+02,6.77E+02,6.49E+02
668.8857504,645.7638401,441.3171781,6.69E+02,6.79E+02,6.58E+02
673.3540516,652.8329594,435.8923314,6.75E+02,6.76E+02,6.55E+02
665.9344948,650.8307754,436.2917108,6.69E+02,6.75E+02,6.52E+02
669.5745146,649.0672257,433.3765666,6.70E+02,6.80E+02,6.52E+02
666.4286155,648.6844172,427.5417237,6.67E+02,6.80E+02,6.47E+02
665.8723954,645.207905,438.0547705,6.67E+02,6.75E+02,6.56E+02
667.371951,647.6588946,434.4487551,6.68E+02,6.84E+02,6.53E+02
668.3206665,653.7854084,439.5235958,6.69E+02,6.74E+02,6.53E+02
665.0576431,641.2084166,427.8933121,6.67E+02,6.74E+02,6.47E+02
670.8603144,643.7145771,428.587498,6.72E+02,6.74E+02,6.46E+02
668.2214916,641.2252241,431.9530731,6.70E+02,6.73E+02,6.48E+02
664.2630654,648.4052472,432.8919652,6.67E+02,6.76E+02,6.50E+02
668.1253206,648.2155898,426.6402419,6.69E+02,6.71E+02,6.46E+02
672.2027365,647.7722475,432.8031507,6.74E+02,6.74E+02,6.53E+02
659.3469001,643.2420457,431.70045,6.62E+02,6.72E+02,6.48E+02
670.4965487,647.9274254,429.3481841,6.72E+02,6.73E+02,6.48E+02
672.2692986,645.6405698,429.788576,6.73E+02,6.77E+02,6.49E+02
668.4589856,644.5066052,435.1865004,6.70E+02,6.76E+02,6.51E+02
671.1923783,646.1405851,426.4063114,6.73E+02,6.77E+02,6.46E+02
667.765584,650.8313574,436.3748171,6.68E+02,6.76E+02,6.54E+02
666.4474898,646.5717795,435.4319856,6.68E+02,6.73E+02,6.52E+02
660.4448707,644.2719139,432.5541545,6.63E+02,6.75E+02,6.53E+02
667.5607669,645.0662334,431.7745954,6.69E+02,6.76E+02,6.50E+02
669.4701074,644.7317711,434.5617356,6.70E+02,6.74E+02,6.51E+02
670.2621558,647.4860924,431.3974596,6.72E+02,6.69E+02,6.49E+02
666.2888721,646.3294874,432.6563873,6.68E+02,6.80E+02,6.52E+02
669.4091524,646.6372619,434.7442296,6.71E+02,6.71E+02,6.53E+02
667.12875,647.7047321,437.93814,6.68E+02,6.73E+02,6.53E+02
