DARC,DDPG,TD3
660.460534795095,649.884139339394,429.217606060244
657.6449249525,648.12462038666,425.491572178659
660.862235968124,644.756604139306,433.299825652201
665.686427443592,645.282643454085,425.162455508024
663.592755981367,645.487240633378,427.044300361216
663.740464116596,647.376415999304,434.996565287951
660.138171749464,649.041484652065,428.067347639439
660.871165727282,646.85747822637,434.019275961248
661.075412639455,646.730162732151,434.570963571707
663.489791108185,646.732545675827,431.128034403647
656.985646690212,625.242844758279,434.687307414705
661.169360449507,647.092658519317,429.84307918481
656.305749993865,649.015113276033,428.933289531154
663.337218236292,646.763712634676,434.133912055201
662.683588224209,626.728752990363,430.940984057626
657.538712351822,625.971885264145,433.969198188
661.0625653979,644.834519556783,434.137461961795
656.880771851115,646.957572021446,431.643263494512
659.436358658273,649.972768047583,431.29446854981
662.256037909103,643.359435262062,429.974028156704
664.023499133196,647.898556387468,433.761045469998
655.703716151184,635.218679033667,432.536888240965
662.361559267863,647.092039716974,436.042823330148
661.626456663594,650.283092892971,434.442364207212
665.883162913817,649.774864524555,433.994850634943
664.240746813879,646.178012800388,428.99172806946
662.096900559623,643.208836821465,427.71723323092
658.462579021849,638.234604223899,433.56237494996
663.161212659235,646.241636790959,431.078087630068
660.763695386742,645.781744793538,434.717489322201
663.209163174658,641.096990153653,439.338904639361
664.198916077456,646.83255464735,432.979509955353
663.34897398496,642.463137466585,428.367000711806
661.456089871217,640.075928269005,437.164231594382
660.356419238959,647.849367372377,431.662892713192
666.410729220039,629.027579768764,434.849982556088
665.3437834771,642.541366205957,428.105227781306
664.040318127283,642.871941123654,432.323279535859
667.133232005386,638.279399038135,425.126384208245
660.101439968225,645.104749863994,424.808579560613
662.705256736864,643.165304888324,427.466685445974
662.449297859407,645.921414729366,431.588111370754
665.406536527476,643.237702845858,435.156845561783
665.475361271705,653.171932024672,430.265363028256
665.341868557597,647.792979387676,434.613176284603
664.893247391369,647.781494557825,439.487443721098
665.314611320843,646.097567309492,428.357515789334
666.963713955933,648.3626348253,430.279559928794
663.804643851406,621.593194702052,436.950786621242
668.689734404147,624.101456455434,429.874368413381
663.969186058292,633.410968530991,428.81517143899
661.127237466469,639.956069363138,432.577134192573
663.341246219668,641.419756565084,433.913802928069
663.049912658594,645.049344219384,434.703474817349
658.24545663658,645.201155687723,432.921439411905
666.44620767153,646.920406862874,427.110731081598
662.842264620651,647.795017618626,434.202073838482
665.601992034136,646.100678854088,427.875347713576
673.63050954631,643.572826579456,428.494268281808
667.562391227807,643.867008472149,431.92390419037
658.528166113917,649.190774065044,425.232602029373
667.896752179452,646.903059870233,431.067806997316
665.453974516045,644.759698087651,430.942085843448
662.602548055374,651.118474373424,432.922498478334
661.691701236055,647.232266460735,426.727006895631
667.194148489824,648.277370693222,434.684508524913
663.989631494308,648.922177109178,431.281131183061
665.260282268823,643.566737075886,427.693685029714
668.038608468386,646.350215833684,434.867105871198
661.753620691434,645.570909525447,427.872171795164
667.835151671497,644.743177942507,428.277409858779
668.239261734602,648.878951896547,433.234149167141
664.401251327123,643.15503753073,430.43420052691
666.848203196465,648.822280066252,427.9444892873
667.368211635453,647.741797947341,429.191170378998
665.77085784009,644.64786376877,423.344771484574
665.71248569191,649.415639696325,425.34984160128
665.390656689398,645.763978191256,432.271324548729
672.278421416732,646.869487410749,422.556028091882
662.78554198101,642.095143069003,436.503809653631
668.43698373087,642.202681656912,429.213228204874
664.310042904933,650.896114118718,428.835214066531
663.652208130315,645.228290277825,428.745512180573
665.475907015357,644.397705716075,429.178827937707
667.300488308035,643.808736907262,441.811424684604
665.286094706796,644.451180643212,429.137544323648
671.610917569208,646.294871016276,431.141628440554
668.161833317115,653.38164629209,432.011401936842
668.595502759672,649.31665799216,433.65079582337
667.712000560151,649.13812476018,436.40764795467
662.611359419379,642.870396386229,428.407241957738
670.976042689231,644.169117121012,436.665273104811
666.200176125154,649.760040853294,433.784523086995
665.586568132126,649.382848981728,438.975659370704
664.313984338793,647.158978199017,424.614785883092
667.68033443618,646.1047579524,434.886333101226
664.479051877543,646.108182407017,427.922991631824
667.622840025173,650.005158266888,432.995650854034
662.479607533519,650.072320295578,431.607997229387
662.724000452268,646.14137992981,427.561995942204
662.621716375534,644.816783074405,431.30712712436
666.110751660008,648.413517443055,427.99291846861
667.7715422922,645.33014016876,431.168096666115
663.988668437687,647.986359518455,436.99319072492
664.022797839616,647.559298565486,426.571083137381
668.613095492147,648.405752911067,437.69401252171
666.757455800396,649.637615591373,439.615722630456
663.182019158001,644.781908971156,429.284060600996
668.821772572282,647.963018411177,435.55896187053
671.472028005928,646.80182587225,435.294432301602
664.900385227185,645.182243685578,428.332948416148
662.976800934363,641.780691127213,436.268602448132
664.172460856987,649.450186520131,431.174788760653
668.422150452294,643.973152110729,436.299179118871
666.729443215638,641.661007967007,433.424110825519
664.424175461741,643.53259562025,432.735459067224
671.806773778534,646.448218590481,432.430985783955
665.204506041618,650.968626950342,431.045477250045
667.502104651457,643.849032854794,429.604811511707
664.697880662512,649.311411942486,427.057030416874
668.885750365283,645.763840094648,441.317178128674
673.354051643534,652.832959384433,435.892331389496
665.93449477158,650.830775383441,436.29171075194
669.574514553872,649.067225657303,433.376566647533
666.428615515776,648.684417210225,427.541723699818
665.872395376522,645.207904960844,438.054770469058
667.371950951915,647.658894614213,434.44875510889
668.320666504246,653.785408375094,439.523595813014
665.057643094983,641.208416599386,427.893312136248
670.860314409703,643.714577137181,428.5874980488
668.221491630814,641.225224100466,431.953073074723
664.263065354968,648.405247197681,432.891965206645
668.12532059476,648.215589818871,426.640241853149
672.202736510777,647.772247543859,432.803150688155
659.346900137389,643.242045658127,431.700450021669
670.496548674155,647.927425391051,429.348184143486
672.269298578799,645.640569837161,429.788575961038
668.458985554709,644.506605209752,435.186500420335
671.192378323322,646.140585066284,426.406311357603
667.765584007921,650.831357350817,436.374817126035
666.447489803559,646.571779502328,435.431985610638
660.444870716518,644.271913942671,432.554154459425
667.560766879082,645.066233353521,431.774595357253
669.470107408572,644.731771083749,434.561735564087
670.262155839657,647.486092415164,431.397459617926
666.288872121157,646.329487365363,432.65638731054
669.409152363828,646.637261897108,434.744229586265
667.128749997259,647.704732078537,437.938140013752
