DARC,DDPG,TD3
303.867332869032,84.4838842191941,7.01772604336031
282.982328019033,96.4865253557841,6.01489252388597
454.643438882193,243.210815451265,24.1086069402031
447.523084428553,249.548273423445,22.8308278288511
470.101161980378,308.649940977025,29.2957099332443
482.281473487934,348.627894835863,30.1604339168748
467.941811539984,349.407191408886,30.7319749435281
458.371767754261,254.627664569342,30.8635560251299
496.411051881211,253.928838410994,31.9270960016032
500.186729295529,252.112111932557,30.5359518673492
502.289882198844,283.540764647367,32.1133351889059
484.006640975003,288.4526078125,434.453958147739
501.759837909189,257.550985331466,432.186178308261
448.12439624185,258.019926869811,436.717174836731
463.668930053847,324.145370705257,430.45581688628
443.640702334218,313.978349135452,436.059303240119
519.315684515165,314.657777856824,427.11670697323
426.690734020945,311.91566922042,430.224324275046
498.28149660295,251.886802483913,428.548008424199
513.922251132035,262.200216225806,429.375880708719
517.001970629317,252.471857867624,425.481531984465
509.170398438547,242.52613594082,435.549647392676
503.038519302371,238.537083227421,431.139625266329
503.914962061597,228.453324912095,435.069938881244
523.651599217154,235.416446877867,430.188966614201
505.498663038324,237.145600474244,223.180592918777
487.887645897196,359.942950531614,225.095922643321
529.989671970417,357.956519607083,229.419989635325
521.951231934847,386.370953950779,225.83097034051
518.200545987807,378.563744464402,227.592035892152
518.559414488991,387.484946889431,226.026492631838
534.62724052523,442.415840217292,226.25385850421
535.025333995152,413.430026196092,225.376007749579
532.48144799915,416.697611504989,299.804202812365
590.328782652827,356.27758660709,308.257734616529
553.769398477887,361.994381470468,309.606515909711
602.3739722629,284.365245810845,307.028422532622
559.166547732893,250.574627646206,307.82438234676
561.011399636611,249.886252801692,308.283378891466
558.938150474674,259.263276911911,428.295208943707
565.976154146227,258.766774779289,434.833580313492
570.504547935904,258.482867246644,436.6544669503
561.704328350128,340.47456049641,428.84573562229
578.710380241342,346.455317198932,429.691961381953
576.703190479588,308.186010109969,353.574077473882
583.9480936052,258.828716314975,342.955397354485
596.336101479384,256.886978995704,429.782425304859
580.012695115516,258.461870791062,422.848698201275
593.36751752365,286.459526216715,446.745512345904
